HML_SI,HML_SI_BIN,HML_SI_CAT,CORR_PRODUCTION,CORR_NC_RATE,CORR_COKE_RATE,CORR_FUEL_RATE,CORR_COAL_RATE,HM_TEMP,QUARTZ_RATE,LIMESTONE_RATE,SLAG_RATE,PYROXINITE_RATE,SINTER_PERC,PELLET_PERC,HOT_BLAST_TEMP,COLD_BLAST_O2_ENRICH,O2_INJ_FLOW,COLD_BLAST_HUMID,FUR_RAFT_TEMP,COMP_COLD_BLAST_FLOW,UPTAKE_AVG,HL_TOTAL_GJ_HR,UPPER_K,MIDDLE_K,LOWER_K,K,HML_S,HML_CAO,HML_SIO2,HML_MGO,HML_AL2O3,HML_CAO_SIO2,COK_MOISTURE,COK_CSR,COK_CRI,COK_AMS,SIN_CAO_SIO2,SIN_MGO
0.67,1,L,5918.13,37.005,362.277,558.453,196.177,1497.333,4.603,0,308,5.714,47.958,37.984,1156.99,7.29,22136.159,15.828,2184.228,200.745,105.085,137.886,0.397,0.633,2.735,3.765,0.051,35.064,34.912,8.688,18.552,1.004,1.533,65.7,24.3,37.423,2.529,2.023
0.774,0,H,6236.11,37.844,338.673,525.809,187.136,1511.833,5.873,0,295,14.921,48.018,37.953,1154.678,7.496,23335.879,17.271,2197.578,204.991,120.635,131.656,0.475,0.661,2.535,3.671,0.041,35.39,34.64,8.431,18.47,1.022,2.433,67.4,23.8,35.802,2.637,2.093
0.715,0,H,6368.8,35.328,330.675,523.49,192.815,1499.625,6.825,0,296,15.238,47.967,37.959,1159.354,7.798,24131.962,15.094,2196.648,201.61,114.227,120.213,0.433,0.571,2.564,3.568,0.049,35.404,34.75,9.236,17.879,1.019,2.033,65.4,24.6,36.938,2.432,2.008
0.689,1,L,6304.03,35.691,323.603,519.509,195.906,1502.6,4.127,0,297,13.333,48.071,37.868,1158.583,7.819,24093.379,15.54,2188.049,200.704,111.573,115.345,0.445,0.642,2.539,3.626,0.053,34.919,34.701,9.581,18.126,1.006,2.333,68.2,24.1,37.121,2.49,1.955
0.603,1,L,6214.06,37.335,326.518,530.732,204.214,1498.75,0,0,301,10.952,48.043,37.916,1156.528,7.783,23953.246,15,2170.504,200.538,112.876,124.32,0.44,0.637,2.586,3.663,0.036,36.855,33.714,8.719,18.135,1.093,1.3,69.09,23.82,38.017,2.638,2.023
0.673,1,L,6119.59,40.852,335.317,526.996,191.68,1497.857,0,0,297,17.937,46.226,39.715,1150.438,7.272,21970.994,15,2177.438,199.911,107.955,140.473,0.463,0.868,2.568,3.9,0.035,36.357,33.501,9.234,18.511,1.085,1.733,67.54,24.71,37.861,2.495,2.21
0.687,1,L,6401.67,36.709,333.819,521.27,187.451,1482.5,0,0,285,6.825,46.125,39.829,1157.681,7.516,23319.752,15.168,2196.073,203.954,106.072,123.24,0.454,0.731,2.531,3.716,0.047,35.1,34.34,9.022,18.874,1.022,2.433,66.4,25.66,36.312,2.551,2.083
0.651,1,L,6227.43,23.445,329.831,523.49,193.659,1514.714,4.286,0,297,7.937,46.801,39.95,1159.332,7.73,23727.895,16.801,2189.386,200.879,109.227,130.855,0.449,0.823,2.425,3.697,0.042,36.433,33.527,8.649,18.696,1.087,2.6,69.3,23.06,37.741,2.679,2.106
0.772,0,H,6263.17,28.101,332.899,523.856,190.958,1510,7.143,0,293,10.476,46.969,38.02,1158.374,7.609,23662.518,17.644,2189.695,204.443,104.686,132.046,0.428,0.743,2.521,3.692,0.042,35.109,34.487,9.357,18.4,1.018,2.7,67.3,24.7,36.893,2.445,2.16
0.707,0,H,6277.71,41.098,329.26,521.368,192.108,1513.286,6.984,0,298,8.73,48.056,37.921,1158.372,7.585,23629.471,15.097,2199.607,204.34,106.683,130.046,0.42,0.661,2.592,3.674,0.041,35.177,34.393,9.34,18.457,1.023,1.1,68.2,24.9,37.203,2.545,2.092
0.683,1,L,6258.82,35.63,334.089,524.859,190.771,1502.875,8.095,0,298,9.524,47.994,38.091,1158.504,7.633,23478.061,18.866,2179.643,202.372,103.621,131.192,0.43,0.751,2.573,3.754,0.038,36.301,33.879,8.703,18.304,1.072,1.667,64.8,26.2,37.463,2.688,2.203
0.746,0,H,6272.39,29.813,334.163,520.854,186.691,1499.571,11.587,0,303,13.016,48.074,37.934,1158.455,7.614,23426.455,16.726,2201.934,202.074,96.717,130.316,0.399,0.833,2.618,3.851,0.041,35.375,34.727,9.14,18.193,1.019,2,68.2,24.8,37.388,2.644,1.871
0.638,1,L,6297.64,34.457,330.441,524.959,194.517,1498.857,11.27,0,305,12.857,48.019,37.965,1158.313,7.783,23979.193,15,2193.18,200.838,100.909,126.565,0.368,0.745,2.602,3.716,0.047,36.28,34.51,8.779,17.776,1.051,1.7,67.5,24.6,37.81,2.732,2.068
